ID.Imagen	position	cat.v	rob.v	ram.v	var.v	balle.v	verg.v	per.v	cat.b	rob.b	ram.b	var.b	per.b	verg.b	balle.b	cat.f	rob.f	ram.f	var.f	per.f	verg.f	balle.f	cat.c	rob.c	ram.c	var.c	per.c	verg.c	balle.c	cat.l	rob.l	ram.l	var.l	per.l	verg.l	balle.l	R4E1.v	R4E2.v	R8E1.v	R8E2.v	R9E1.v	R9E2.v	R10E1.v	R10E2.v	R13E1.v	R13E2.v	R18E1.v	R18E2.v
40	M	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
41	IC	0	0	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	0	0
42	IC	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0
43	IC	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
44	M	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
45	IC	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
46	PM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
47	PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0
48	IC	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
49	M	1	1	1	0	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
50	M	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	1	0	0
51	IC	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
52	M	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
53	M	0	0	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0
54	IC	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	0
55	M	0	0	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
56	M	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0
57	PM	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
58	PM	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0
59	M	0	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0
60	IC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
61	PM	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
62	PM	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	0	1	1	0	0
63	IC	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	0	1
64	M	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
65	IC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0
66	PM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	0	1	0	0
67	PM	0	1	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0
68	M	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0
69	IC	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0
70	IC	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
71	M	1	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0
72	IC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0
73	M	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0
74	M	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
75	M	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0
76	M	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
77	IC	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
78	M	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0
79	M	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0
80	PM	1	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0
81	M	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0
82	M	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0
83	IC	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0
84	M	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	1	1	0	0
85	M	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0
86	M	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0
87	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
88	IC	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0
89	M	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0
90	M	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0
91	M	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
92	M	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	0	0
93	M	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0
94	M	1	1	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0
95	PM	0	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0
96	IC	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0
97	IC	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
98	IC	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	0
99	IC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
100	IC	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	1	1	1	0	0	1	0	0
